tid,cluster,title,imdbRating,ratingCount,year,nrOfWins,nrOfNominations,nrOfUserReviews,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western
tt0045152,5,Du sollst mein Glücksstern sein (1952),8.4,108115,1952,4,7,441,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
tt0046250,3,Ein Herz und eine Krone (1953),8.1,69739,1953,7,14,193,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0046359,1,Stalag 17 (1953),8.1,36013,1953,1,4,130,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0046911,2,Die Teuflischen (1955),8.3,29309,1955,4,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
tt0046912,7,Bei Anruf Mord (1954),8.2,72579,1954,3,2,223,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0047296,7,Die Faust im Nacken (1954),8.3,74023,1954,21,7,255,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0047396,7,Das Fenster zum Hof (1954),8.6,229323,1954,6,6,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
tt0047478,1,Die sieben Samurai (1954),8.8,172690,1954,4,5,548,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0047528,1,Das Lied der Stra_e (1954),8.2,35143,1954,10,4,108,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0048424,7,Die Nacht des Jägers (1955),8.1,47739,1955,1,0,322,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0049406,7,Killing (1956),8.1,47740,1956,0,0,304,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0050083,6,Die zwölf Geschworenen (1957),8.9,293725,1957,16,6,726,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0050212,9,Die Brücke am Kwai (1957),8.3,109972,1957,24,5,243,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0050825,1,Wege zum Ruhm (1957),8.5,84945,1957,3,2,313,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0050976,1,Das siebente Siegel (1957),8.3,80684,1957,7,1,236,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0050986,1,Wilde Erdbeeren (1957),8.3,45457,1957,12,2,130,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0051201,7,Zeugin der Anklage (1957),8.5,40385,1957,3,8,172,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0052311,7,Im Zeichen des Bösen (1958),8.2,55474,1958,3,1,245,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0052357,7,Vertigo - Aus dem Reich der Toten (1958),8.5,176267,1958,6,3,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
tt0052618,9,Ben Hur (1959),8.2,115402,1959,20,5,340,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0053125,9,Der unsichtbare Dritte (1959),8.5,166029,1959,7,4,466,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0053198,7,Sie kü_ten und sie schlugen ihn (1959),8.2,49996,1959,6,3,159,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0053291,1,Manche mögen's hei_ (1959),8.4,129721,1959,12,8,329,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0053604,3,Das Appartement (1960),8.4,77601,1960,18,8,221,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0053779,1,Das sü_e Leben (1960),8.1,35788,1960,8,12,149,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0054215,2,Psycho (1960),8.6,296676,1960,6,5,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
tt0054997,1,Haie der Gro_stadt (1961),8.1,47138,1961,15,14,145,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt0055031,1,Das Urteil von Nürnberg (1961),8.3,28790,1961,17,21,156,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
