id,rank,star_name
nm0000234,193,Charlize Theron
nm0000700,194,Debra Winger
nm0182839,195,Marion Cotillard
nm0000207,196,Christina Ricci
nm0000300,197,Juliette Binoche
nm0000435,198,Daryl Hannah
nm0095804,199,Shirley Booth
nm0000702,200,Reese Witherspoon
nm0001125,201,Benicio Del Toro
nm0000102,202,Kevin Bacon
nm0000664,203,Patrick Swayze
nm0000323,204,Michael Caine
nm0000380,205,Robert Duvall
nm0000044,206,Burt Lancaster
nm0000053,207,Robert Mitchum
nm0268199,208,Colin Farrell
nm0000034,209,William Holden
nm0000064,210,Edward G. Robinson
nm0001635,211,William Powell
nm0001467,212,Jared Leto
nm0001224,213,Errol Flynn
nm0000050,214,Groucho Marx
nm0000051,215,James Mason
nm0000036,216,Buster Keaton
nm0000080,217,Orson Welles
nm0000001,218,Fred Astaire
nm0177896,219,Bradley Cooper
nm0000198,220,Gary Oldman
nm0000179,221,Jude Law
nm0316079,222,Paul Giamatti
nm0000553,223,Liam Neeson
nm0000354,224,Matt Damon
nm1055413,225,Michael Fassbender
nm0000993,226,Carol Burnett
nm0001788,227,Jessica Tandy
nm0000166,228,Helen Hunt
nm0000099,229,Patricia Arquette
nm0000544,230,Carmen Miranda
nm0005028,231,Kate Hudson
nm0001876,232,Catherine Zeta-Jones
nm0000139,233,Cameron Diaz
nm0001666,234,Debbie Reynolds
nm0000995,235,Ellen Burstyn
nm0000058,236,Maureen O'Hara
nm0001485,237,Myrna Loy
nm0372176,238,Lena Headey
nm0001057,239,Toni Collette
nm0001473,240,Laura Linney
nm0000017,241,Marlene Dietrich
nm0001479,242,Carole Lombard
nm0000795,243,Jean Arthur
nm0001318,244,Jean Harlow
nm0001677,245,Ginger Rogers
nm0681933,246,Mary Pickford
nm0922213,247,Mae West
nm0000096,248,Gillian Anderson
nm0914612,249,Emma Watson
nm0000212,250,Meg Ryan
nm0000273,251,Alan Arkin
nm0000621,252,Kurt Russell
nm0350453,253,Jake Gyllenhaal
nm0331516,254,Ryan Gosling
nm0000147,255,Colin Firth
nm0004937,256,Jamie Foxx
nm0004778,257,Adrien Brody
nm0000905,258,Roberto Benigni
nm0000460,259,Jeremy Irons
nm0000719,260,F. Murray Abraham
nm0000377,261,Richard Dreyfuss
nm0002075,262,Peter Finch
nm0138770,263,Art Carney
nm0731772,264,Cliff Robertson
nm0001511,265,Lee Marvin
nm0001322,266,Rex Harrison
nm0000063,267,Anthony Quinn
nm0001703,268,Maximilian Schell
nm0362766,269,Tom Hardy
nm0000057,270,David Niven
nm0000458,271,William Hurt
nm0000989,272,Yul Brynner
nm0000308,273,Ernest Borgnine
nm1212722,274,Benedict Cumberbatch
nm0001768,275,Rod Steiger
nm1631269,276,Chloë Grace Moretz
nm0447695,277,Anna Kendrick
nm0001833,278,Emily Watson
nm0000307,279,Helena Bonham Carter
nm0461136,280,Keira Knightley
nm0005490,281,Alexis Thorpe
nm0203836,282,Marion Davies
nm0424060,283,Scarlett Johansson
nm0266824,284,Dakota Fanning
nm0000098,285,Jennifer Aniston
nm0000124,286,Jennifer Connelly
nm1046097,287,Rachel McAdams
nm1659547,288,Carey Mulligan
nm0005109,289,Mila Kunis
nm1086543,290,Amanda Seyfried
nm0000182,291,Jennifer Lopez
nm0000117,292,Neve Campbell
nm0000103,293,Fairuza Balk
nm0004695,294,Jessica Alba
nm0829576,295,Kristen Stewart
nm0910278,296,Julie Walters
nm1913734,297,Rooney Mara
nm0000130,298,Jamie Lee Curtis
nm1297015,299,Emma Stone
nm0000379,300,Kirsten Dunst
nm0001207,301,José Ferrer
nm0002024,302,Broderick Crawford
nm0172903,303,Ronald Colman
nm0545298,304,Fredric March
nm0001537,305,Ray Milland
nm0001078,306,Bing Crosby
nm0510134,307,Paul Lukas
nm0232196,308,Robert Donat
nm0612847,309,Paul Muni
nm0572142,310,Victor McLaglen
nm0001452,311,Charles Laughton
nm0000891,312,Wallace Beery
nm0000859,313,Lionel Barrymore
nm0000156,314,Jeff Goldblum
nm1165110,315,Chris Hemsworth
nm0062828,316,Warner Baxter
nm0417837,317,Emil Jannings
nm0177933,318,Chris Cooper
nm0000980,319,Jim Broadbent
nm0000336,320,James Coburn
nm0000421,321,Cuba Gooding Jr.
nm0001445,322,Martin Landau
nm0001588,323,Jack Palance
nm0000177,324,Kevin Kline
nm0000747,325,Don Ameche
nm0000295,326,Kate Beckinsale
nm0221046,327,Zooey Deschanel
nm0931329,328,Michelle Williams
nm0000170,329,Milla Jovovich
nm1411125,330,Selena Gomez
nm0001838,331,Rachel Weisz
nm0068338,332,Kristen Bell
nm0001337,333,Katherine Heigl
nm0000239,334,Liv Tyler
nm1567113,335,Jessica Chastain
nm1083271,336,Megan Fox
nm0924508,337,Betty White
nm0656183,338,Geraldine Page
nm0244630,339,Eliza Dushku
nm0000705,340,Robin Wright
nm1015262,341,Leighton Meester
nm0428354,342,Jennifer Jones
nm0000073,343,Shirley Temple
nm0000506,344,Julia Louis-Dreyfus
nm1880888,345,Olivia Thirlby
nm0000333,346,Cher
nm0000651,347,Sissy Spacek
nm0001221,348,Louise Fletcher
nm0001046,349,Julie Christie
nm0623658,350,Patricia Neal
nm0628955,351,Haing S. Ngor
nm0001283,352,Louis Gossett Jr.
nm0000024,353,John Gielgud
nm0000459,354,Timothy Hutton
nm0002048,355,Melvyn Douglas
nm0001673,356,Jason Robards
nm0122675,357,George Burns
nm0000288,358,Christian Bale
nm0000160,359,Ethan Hawke
nm0424565,360,Ben Johnson
nm0590055,361,John Mills
nm0016776,362,Jack Albertson
nm0000576,363,Sean Penn
nm0001421,364,George Kennedy
nm0000527,365,Walter Matthau
nm0000842,366,Martin Balsam
nm0001811,367,Peter Ustinov
nm0003225,368,Ed Begley
nm0001995,369,George Chakiris
nm0341518,370,Hugh Griffith
nm0412322,371,Burl Ives
nm0000999,372,Red Buttons
nm0639529,373,Edmond O'Brien
nm0695435,374,Chris Pratt
nm0000069,375,Frank Sinatra
nm0000843,376,Anne Bancroft
nm0001571,377,Kim Novak
nm0797531,378,Simone Signoret
nm0680983,379,Ellen Page
nm0001450,380,Angela Lansbury
nm0391062,381,Judy Holliday
nm0949835,382,Loretta Young
nm0429250,383,Shirley Jones
nm0267812,384,Vera Farmiga
nm0371040,385,Helen Hayes
nm0237597,386,Marie Dressler
nm0310980,387,Janet Gaynor
nm2143282,388,Lupita Nyong'o
nm0818055,389,Octavia Spencer
nm0502425,390,Melissa Leo
nm0594898,391,Mo'Nique
nm0559144,392,Marlee Matlin
nm0842770,393,Tilda Swinton
nm1617685,394,Jennifer Hudson
nm0000250,395,Renée Zellweger
nm0001315,396,Marcia Gay Harden
nm0001593,397,Anna Paquin
nm0000673,398,Marisa Tomei
nm0001689,399,Mercedes Ruehl
nm0002084,400,Brenda Fricker
nm0000606,401,Jean Reno
nm0001695,402,George Sanders
nm0415591,403,Dean Jagger
nm0404158,404,Walter Huston
nm0350324,405,Edmund Gwenn
nm0751174,406,Harold Russell
nm0000424,407,Hugh Grant
nm0280178,408,Barry Fitzgerald
nm0002013,409,Charles Coburn
nm0001336,410,Van Heflin
nm0187981,411,Donald Crisp
nm0593775,412,Thomas Mitchell
nm0000974,413,Walter Brennan
nm0771584,414,Joseph Schildkraut
nm0000206,415,Keanu Reeves
nm1475594,416,Channing Tatum
nm0413168,417,Hugh Jackman
nm0425005,418,Dwayne Johnson
nm0001191,419,Adam Sandler
nm0705356,420,Daniel Radcliffe
nm0185819,421,Daniel Craig
nm0147147,422,Henry Cavill
nm0004874,423,Vin Diesel
nm0000255,424,Ben Affleck
nm1517976,425,Chris Pine
nm0001156,426,Olympia Dukakis
nm0001919,427,Peggy Ashcroft
nm0001373,428,Linda Hunt
nm0822972,429,Maureen Stapleton
nm0005460,430,Mary Steenburgen
nm0833152,431,Beatrice Straight
nm0000603,432,Vanessa Redgrave
nm0335519,433,Lee Grant
nm0373012,434,Eileen Heckart
nm0001458,435,Cloris Leachman
nm0002106,436,Ruth Gordon
nm0663820,437,Estelle Parsons
nm0006800,438,Sandy Dennis
nm0001859,439,Shelley Winters
nm0350454,440,Maggie Gyllenhaal
nm0005017,441,Katie Holmes
nm0001157,442,Patty Duke
nm0001549,443,Rita Moreno
nm0384908,444,Wendy Hiller
nm0880855,445,Miyoshi Umeki
nm0540416,446,Dorothy Malone
nm0886888,447,Jo Van Fleet
nm0001693,448,Eva Marie Saint
nm0002108,449,Gloria Grahame
nm0001375,450,Kim Hunter
nm0002011,451,Lee J. Cobb
nm1940449,452,Andrew Garfield
nm0001030,453,John Cazale
nm0719637,454,Jeremy Renner
nm0136797,455,Steve Carell
nm0241121,456,Jean Dujardin
nm0262635,457,Chris Evans
nm0290556,458,James Franco
nm0302108,459,Zach Galifianakis
nm0002071,460,Will Ferrell
nm0479471,461,Shia LaBeouf
nm0736622,462,Seth Rogen
nm0330687,463,Joseph Gordon-Levitt
nm0005351,464,Ryan Reynolds
nm0748620,465,Paul Rudd
nm0781981,466,Jason Segel
nm0005458,467,Jason Statham
nm0001813,468,Dick Van Dyke
nm0251986,469,Jesse Eisenberg
nm0005562,470,Owen Wilson
nm0000867,471,Jason Bateman
nm1347153,472,Tyler Perry
nm2955013,473,Liam Hemsworth
